0000-01-01 19:00:00 +0000 UTC --- Duration: 1000h0m0s Route: [Boston College,Lechmere,Cleveland Circle,Riverside,Heath Street,Forest Hills,Oak Grove,Alewife,Braintree,Mattapan,Bowdoin,Wonderland]
0000-01-01 08:00:00 +0000 UTC --- Duration: 6h26m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Heath Street-walk,Forest Hills,Mattapan,Braintree,Alewife,Wonderland,Bowdoin,Lechmere,Oak Grove]
0000-01-01 09:00:00 +0000 UTC --- Duration: 6h23m0s Route: [Wonderland,Bowdoin,Lechmere,Oak Grove,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 15:00:00 +0000 UTC --- Duration: 6h25m0s Route: [Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Cleveland Circle-walk,Boston College,Riverside]
0000-01-01 12:00:00 +0000 UTC --- Duration: 6h36m0s Route: [Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 07:00:00 +0000 UTC --- Duration: 6h25m0s Route: [Oak Grove,Lechmere,Wonderland,Bowdoin,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 10:00:00 +0000 UTC --- Duration: 6h20m0s Route: [Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 11:00:00 +0000 UTC --- Duration: 6h29m0s Route: [Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 16:00:00 +0000 UTC --- Duration: 6h22m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Bowdoin,Wonderland,Lechmere,Oak Grove,Braintree,Mattapan,Forest Hills-walk,Heath Street,Alewife]
0000-01-01 06:00:00 +0000 UTC --- Duration: 6h29m0s Route: [Riverside,Cleveland Circle-walk,Boston College,Heath Street-walk,Forest Hills,Mattapan,Braintree,Alewife,Wonderland,Bowdoin,Lechmere,Oak Grove]
0000-01-01 13:00:00 +0000 UTC --- Duration: 6h40m0s Route: [Braintree,Mattapan,Forest Hills-walk,Heath Street,Lechmere,Oak Grove,Wonderland,Bowdoin,Alewife,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 18:00:00 +0000 UTC --- Duration: 6h20m0s Route: [Oak Grove,Lechmere,Bowdoin,Wonderland,Braintree,Mattapan,Forest Hills-walk,Heath Street,Alewife,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 17:00:00 +0000 UTC --- Duration: 6h23m0s Route: [Lechmere,Oak Grove,Bowdoin,Wonderland,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
0000-01-01 14:00:00 +0000 UTC --- Duration: 6h34m0s Route: [Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
