2019-08-02 17:00:00 -0400 EDT --- Duration: 7h21m0s Route: [Mattapan,Alewife,Lechmere,Oak Grove,Wonderland,Bowdoin,Forest Hills,Heath Street-walk,Riverside,Cleveland Circle-walk,Boston College,Braintree]
2019-08-02 10:00:00 -0400 EDT --- Duration: 7h22m0s Route: [Riverside,Cleveland Circle-walk,Boston College,Heath Street-walk,Forest Hills,Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Mattapan,Braintree]
2019-08-02 19:00:00 -0400 EDT --- Duration: 1000h0m0s Route: [Boston College,Lechmere,Cleveland Circle,Riverside,Heath Street,Forest Hills,Oak Grove,Alewife,Braintree,Mattapan,Bowdoin,Wonderland]
2019-08-02 12:00:00 -0400 EDT --- Duration: 7h23m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Heath Street-walk,Forest Hills,Oak Grove,Lechmere,Wonderland,Bowdoin,Alewife,Braintree,Mattapan]
2019-08-02 18:00:00 -0400 EDT --- Duration: 1000h0m0s Route: [Boston College,Lechmere,Cleveland Circle,Riverside,Heath Street,Forest Hills,Oak Grove,Alewife,Braintree,Mattapan,Bowdoin,Wonderland]
2019-08-02 15:00:00 -0400 EDT --- Duration: 7h30m0s Route: [Braintree,Mattapan,Wonderland,Bowdoin,Alewife,Lechmere,Oak Grove,Forest Hills-walk,Heath Street,Cleveland Circle-walk,Boston College,Riverside]
2019-08-02 07:00:00 -0400 EDT --- Duration: 7h22m0s Route: [Mattapan,Braintree,Alewife,Bowdoin,Wonderland,Lechmere,Oak Grove,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
2019-08-02 11:00:00 -0400 EDT --- Duration: 7h30m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Heath Street-walk,Forest Hills,Oak Grove,Lechmere,Wonderland,Bowdoin,Alewife,Mattapan,Braintree]
2019-08-02 13:00:00 -0400 EDT --- Duration: 7h42m0s Route: [Mattapan,Braintree,Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
2019-08-02 16:00:00 -0400 EDT --- Duration: 7h25m0s Route: [Mattapan,Braintree,Alewife,Bowdoin,Wonderland,Forest Hills-walk,Heath Street,Cleveland Circle-walk,Boston College,Riverside,Lechmere,Oak Grove]
2019-08-02 14:00:00 -0400 EDT --- Duration: 7h22m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Heath Street-walk,Forest Hills,Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Braintree,Mattapan]
2019-08-02 06:00:00 -0400 EDT --- Duration: 7h21m0s Route: [Riverside,Boston College-walk,Cleveland Circle,Heath Street-walk,Forest Hills,Wonderland,Bowdoin,Oak Grove,Lechmere,Alewife,Mattapan,Braintree]
2019-08-02 08:00:00 -0400 EDT --- Duration: 7h30m0s Route: [Braintree,Mattapan,Alewife,Bowdoin,Wonderland,Lechmere,Oak Grove,Forest Hills-walk,Heath Street,Boston College-walk,Cleveland Circle,Riverside]
2019-08-02 09:00:00 -0400 EDT --- Duration: 7h39m0s Route: [Braintree,Mattapan,Alewife,Bowdoin,Wonderland,Oak Grove,Lechmere,Forest Hills-walk,Heath Street,Cleveland Circle-walk,Boston College,Riverside]
